time_start,time_end,Sender,Receiver,Distance
0.1,0.1,13,9,1
0.1,1.1,2,3,1
0.3,0.8,15,20,1
0.3,0.9,16,27,1
0.3,1.1,3,2,1
0.4,0.6,22,28,1
0.5,1.2,16,24,1
0.5,0.9,12,7,1
0.5,1.0,21,16,1
0.5,0.9,1,5,1
0.6,1.4,15,24,1
0.6,0.9,25,24,1
0.6,1.4,26,19,1
0.6,1.1,12,7,1
0.7,1.0,7,2,1
0.7,1.1,16,27,1
0.7,1.3,3,2,1
0.7,1.1,18,26,1
0.7,1.1,1,5,1
0.8,1.1,15,19,1
0.8,1.3,2,7,1
0.8,2.8,20,22,1
0.8,1.2,21,26,1
0.8,1.0,27,26,1
0.9,2.8,5,8,1
0.9,1.8,24,28,1
0.9,1.1,1,4,1
0.9,1.3,2,1,1
0.9,1.2,11,1,1
1.0,2.5,26,25,1
1.1,1.5,9,7,1
1.1,2.2,26,24,1
1.1,3.0,19,22,1
1.1,1.7,2,3,1
1.1,3.4,4,7,1
1.1,3.6,5,3,1
1.1,3.5,3,9,1
1.2,2.5,26,25,1
1.2,3.2,1,8,1
1.2,2.0,24,22,1
1.2,1.5,21,22,1
1.3,3.5,7,10,1
1.3,3.3,1,7,1
1.4,2.7,24,20,1
1.5,2.5,7,12,1
1.5,3.3,22,26,1
1.6,3.5,2,11,1
1.8,2.5,27,21,1
1.9,3.7,16,24,1
2.0,3.4,2,9,1
2.1,4.5,3,9,1
2.2,4.4,19,25,1
2.3,3.4,7,5,1
2.5,4.6,12,11,1
2.5,4.5,25,18,1
2.6,4.9,28,20,1
2.8,7.9,8,4,1
2.8,5.1,22,2,1
3.0,4.2,24,21,1
3.0,5.8,22,18,1
3.0,4.8,22,26,1
3.1,4.4,21,25,1
3.2,7.0,8,25,1
3.3,5.9,7,21,1
3.4,5.4,20,27,1
3.4,6.0,7,18,1
3.5,5.2,25,17,1
3.6,7.3,3,14,1
3.7,7.6,24,11,1
3.8,6.3,28,15,1
4.0,5.9,16,28,1
4.0,4.8,2,7,1
4.2,6.9,11,4,1
4.4,5.4,25,18,1
4.5,6.5,10,5,1
4.5,6.2,18,16,1
4.5,5.3,26,28,1
4.5,7.0,9,4,1
4.5,8.0,9,10,1
4.5,5.2,7,6,1
4.6,6.0,11,5,1
