time_start,time_end,sender_id,receiver_id,empty_columns_sequence
100,100,13,9,1101111111011011101011011111
100,1100,2,3,1111011111100111111101011110
300,800,15,20,1111111010111010110111111101
300,1100,3,2,1111110011111011110110101111
300,900,16,27,1101101111110111111111011010
400,600,22,28,1101111111101011111111101001
500,1000,21,16,0101111111111011101011111101
500,1200,16,24,1111100111111011111001111110
500,900,1,5,1111110100111111110111011110
500,900,12,7,1101111111011011101011011111
600,1400,15,24,1111110110110111110111011110
600,900,25,24,1011111111100111011001111111
600,1100,12,7,1111111010111010110111111101
600,1400,26,19,1111111011001111011110111101
700,1100,1,5,1111111011010111010111111101
700,1300,3,2,1111110011111010111011111011
700,1100,18,26,1110111011111010111011111110
700,1000,7,2,1101101111110111111111011010
700,1100,16,27,1111110011111011110110101111
800,1100,15,19,1110111111110011111111011001
800,1200,21,26,1111111011010111010111111101
800,2800,20,22,1111111010111010110111111101
800,1300,2,7,1111111011001111110110111101
800,1000,27,26,1111011111100111111101011110
900,1100,1,4,1101111111101011111011101011
900,1800,24,28,1011111111100111011001111111
900,2800,5,8,1111110100111111110111011110
900,1300,2,1,1110111011111010111011111110
900,1200,11,1,1111100111111011111001111110
1000,2500,26,25,1111011111100111111101011110
1100,3400,4,7,1101111111101011111011101011
1100,3500,3,9,1111011111100111111101011110
1100,3000,19,22,1110111111110011111111011001
1100,3600,5,3,1111111011010111010111111101
1100,1700,2,3,1111011111100111011001111111
1100,2200,26,24,1110111011111010111011111110
1100,1500,9,7,1110111111110011111111011001
1200,1500,21,22,1111110011111010110011111111
1200,3200,1,8,1111100111111011111001111110
1200,2000,24,22,1111100111111011111001111110
1200,2500,26,25,1111111011010111010111111101
1300,3300,1,7,1110111011111010111011111110
1300,3500,7,10,1111111011001111110110111101
1400,2700,24,20,1111110110110111110111011110
1500,3300,22,26,1111110011111010110011111111
1500,2500,7,12,1110111111110011111111011001
1600,3500,2,11,1111110011111011110110101111
1800,2500,27,21,1101101111110111111111011010
1900,3700,16,24,0101111111111011101011111101
2000,3400,2,9,1111110011111010111011111011
2100,4500,3,9,1111011111100111011001111111
2200,4400,19,25,1111111011001111011110111101
2300,3400,7,5,1111111010111010110111111101
2500,4500,25,18,1111111011010111010111111101
2500,4600,12,11,1110111111110011111111011001
2600,4900,28,20,1101111111101011111111101001
2800,5100,22,2,1111111010111010110111111101
2800,7900,8,4,1111110100111111110111011110
3000,4200,24,21,1110111011111010111011111110
3000,5800,22,18,1110111111110011111111011001
3000,4800,22,26,1111100111111011111001111110
3100,4400,21,25,1101101111110111111111011010
3200,7000,8,25,1111100111111011111001111110
3300,5900,7,21,1110111011111010111011111110
3400,6000,7,18,1101111111101011111011101011
3400,5400,20,27,1111110110110111110111011110
3500,5200,25,17,1111011111100111111101011110
3600,7300,3,14,1111111011010111010111111101
3700,7600,24,11,0101111111111011101011111101
3800,6300,28,15,1011111111100111011001111111
4000,4800,2,7,1101101111110111111111011010
4000,5900,16,28,1111110011111011110110101111
4200,6900,11,4,1111110011111011110110101111
4400,5400,25,18,1111111011001111011110111101
4500,5200,7,6,1101111111011011101011011111
4500,5300,26,28,1111110011111010110011111111
4500,6200,18,16,1111111011010111010111111101
4500,8000,9,10,1111011111100111011001111111
4500,6500,10,5,1111111011001111110110111101
4500,7000,9,4,1111011111100111111101011110
4600,6000,11,5,1110111111110011111111011001
4900,9600,20,10,1101111111101011111111101001
5200,6500,6,7,1101111111011011101011011111
5300,8300,9,5,1111110011111010111011111011
5700,7000,26,19,1111100111111011111001111110
5800,7700,18,2,1110111111110011111111011001
5900,8000,28,26,1111110011111011110110101111
5900,7800,5,21,1111111010111010110111111101
6000,8100,25,10,1101101111110111111111011010
6000,8000,18,27,1101111111101011111011101011
6000,6800,7,4,1101101111110111111111011010
6400,8200,27,21,1111110110110111110111011110
6600,8400,17,19,1111011111100111111101011110
7000,8500,4,6,1111011111100111111101011110
7000,9200,25,22,1111100111111011111001111110
7200,10300,18,14,1111111011001111011110111101
7300,8400,14,5,1111111011010111010111111101
7400,10200,16,21,1111111011010111010111111101
7500,9100,4,5,1101101111110111111111011010
7700,9300,2,15,1110111111110011111111011001
7800,8400,21,9,1111111010111010110111111101
7800,8800,19,27,1111100111111011111001111110
7900,9900,4,21,1111110100111111110111011110
8000,8800,10,19,1111011111100111011001111111
8000,8500,7,6,1101111111011011101011011111
8000,10500,27,22,1101111111101011111011101011
8000,9600,4,5,1111110011111011110110101111
8100,12800,15,27,1011111111100111011001111111
8300,10800,6,27,1110111011111010111011111110
8300,8900,5,11,1111110011111010111011111011
8400,9700,5,10,1110111111110011111111011001
